,Global Horizontal Irradiance [W/m2]
81.98333333333333,258.47222222222234
82.0,261.1111111111111
82.01666666666667,263.1944444444443
82.03333333333333,265.2777777777775
82.05,267.36111111111074
82.06666666666666,269.44444444444395
82.08333333333333,271.52777777777715
82.1,273.6111111111104
82.11666666666666,275.6944444444436
82.13333333333334,277.7777777777768
82.15,279.86111111111177
82.16666666666667,281.944444444445
82.18333333333334,284.0277777777782
82.2,286.1111111111114
82.21666666666667,288.1944444444447
82.23333333333333,290.2777777777779
82.25,292.3611111111111
82.26666666666667,294.4444444444443
82.28333333333333,296.5277777777775
82.3,298.61111111111074
82.31666666666666,300.69444444444395
82.33333333333333,302.77777777777715
82.35,304.8611111111104
82.36666666666666,306.9444444444436
82.38333333333334,309.0277777777768
82.4,311.11111111111177
82.41666666666667,313.194444444445
82.43333333333334,315.2777777777782
82.45,317.3611111111114
82.46666666666667,319.4444444444447
82.48333333333333,321.5277777777779
82.5,323.6111111111111
82.51666666666667,325.6944444444443
82.53333333333333,327.7777777777775
82.55,329.86111111111074
82.56666666666666,331.94444444444395
82.58333333333333,334.02777777777715
82.6,336.1111111111104
82.61666666666666,338.1944444444436
82.63333333333334,340.2777777777768
82.65,342.36111111111177
82.66666666666667,344.444444444445
82.68333333333334,346.5277777777782
82.7,348.6111111111114
82.71666666666667,350.6944444444447
82.73333333333333,352.7777777777779
82.75,354.8611111111111
82.76666666666667,356.9444444444443
82.78333333333333,359.0277777777775
82.8,361.11111111111074
82.81666666666666,363.19444444444395
82.83333333333333,365.27777777777715
82.85,367.3611111111104
82.86666666666666,369.4444444444436
82.88333333333334,371.5277777777768
82.9,373.61111111111177
82.91666666666667,375.694444444445
82.93333333333334,377.7777777777782
82.95,379.8611111111114
82.96666666666667,381.9444444444447
82.98333333333333,384.0277777777779
83.0,386.1111111111111
83.01666666666667,387.77777777777766
83.03333333333333,389.44444444444423
83.05,391.1111111111108
83.06666666666666,392.7777777777774
83.08333333333333,394.44444444444395
83.1,396.1111111111105
83.11666666666666,397.7777777777771
83.13333333333334,399.44444444444366
83.15,401.11111111111165
