,Indoor Air Temperature [°C]
75.06666666666666,15.832999115703615
75.08333333333333,15.83206254844282
75.1,15.83112780932106
75.11666666666666,15.830194190264422
75.13333333333334,15.829261269382073
75.15,15.828328792559603
75.16666666666667,15.827396604459125
75.18333333333334,15.826464608230708
75.2,15.825532741926565
75.21666666666667,15.824600964646322
75.23333333333333,15.823669248361568
75.25,15.822737573062398
75.26666666666667,15.821805923853447
75.28333333333333,15.820874289198343
75.3,15.819942659843377
75.31666666666666,15.819011028146576
75.33333333333333,15.818079387650016
75.35,15.817147732800095
75.36666666666666,15.816216058758812
75.38333333333334,15.815284361272347
75.4,15.814352636576075
75.41666666666667,15.813420881323736
75.43333333333334,15.812489092532587
75.45,15.811557267540422
75.46666666666667,15.81062540397005
75.48333333333333,15.809693499700472
75.5,15.808761552842213
75.51666666666667,15.807829561716744
75.53333333333333,15.806897524838348
75.55,15.805965440898945
75.56666666666666,15.805033308754446
75.58333333333333,15.804101127413048
75.6,15.803168896025113
75.61666666666666,15.802236613873788
75.63333333333334,15.80130428036722
75.65,15.800371895031276
75.66666666666667,15.799439457503468
75.68333333333334,15.798506967526919
75.7,15.797574424945878
75.71666666666667,15.796641829700718
75.73333333333333,15.79570918182418
75.75,15.794776481437566
75.76666666666667,15.793843728747504
75.78333333333333,15.792910924042758
75.8,15.791978067691446
75.81666666666666,15.791045160138651
75.83333333333333,15.790112201903526
75.85,15.789179193577581
75.86666666666666,15.788246135822192
75.88333333333334,15.78731302936643
75.9,15.786379875005423
75.91666666666667,15.785446673598301
75.93333333333334,15.784513426066383
75.95,15.78358013339124
75.96666666666667,15.782646796613108
75.98333333333333,15.78171341682912
76.0,15.780779995191608
76.01666666666667,15.779813199572914
76.03333333333333,15.778826683582395
76.05,15.77782840028874
76.06666666666666,15.776822992780012
76.08333333333333,15.775813180266482
76.1,15.774800562252267
76.11666666666666,15.773786085436313
76.13333333333334,15.772770315047126
76.15,15.771753592714845
76.16666666666667,15.770736128466694
76.18333333333334,15.769718054441512
76.2,15.768699456333081
76.21666666666667,15.767680391859528
76.23333333333333,15.766660901660202
76.25,15.765641015762867
76.26666666666667,15.764620757451837
76.28333333333333,15.763600145605494
76.3,15.762579196127206
76.31666666666666,15.76155792283646
76.33333333333333,15.760536338035763
76.35,15.759514452879785
76.36666666666666,15.758492277623816
76.38333333333334,15.757469821795553
76.4,15.756447094318446
76.41666666666667,15.755424103602934
76.43333333333334,15.754400857616133
76.45,15.753377363936636
76.46666666666667,15.752353629798108
76.48333333333333,15.751329662125386
76.5,15.750305467564033
76.51666666666667,15.74928105250524
76.53333333333333,15.748256423106795
76.55,15.747231585311226
76.56666666666666,15.746206544860797
76.58333333333333,15.745181307310702
76.6,15.744155878040488
76.61666666666666,15.743130262263492
76.63333333333334,15.742104465035368
76.65,15.741078491261078
76.66666666666667,15.740052345701486
76.68333333333334,15.739026032978302
76.7,15.737999557578803
76.71666666666667,15.73697292386015
76.73333333333333,15.735946136052519
76.75,15.73491919826239
76.76666666666667,15.733892114475168
76.78333333333333,15.732864888557515
76.8,15.731837524259674
76.81666666666666,15.73081002521701
76.83333333333333,15.72978239495228
76.85,15.728754636876829
76.86666666666666,15.727726754292405
76.88333333333334,15.726698750392472
76.9,15.725670628263686
76.91666666666667,15.724642390887425
76.93333333333334,15.723614041140934
76.95,15.72258558179891
76.96666666666667,15.72155701553487
76.98333333333333,15.72052834492257
77.0,15.719499572437542
77.01666666666667,15.718437367125034
77.03333333333333,15.717355383620259
77.05,15.716261575874057
77.06666666666666,15.715160587716127
77.08333333333333,15.714055138960987
77.1,15.712946829583359
77.11666666666666,15.711836606622057
77.13333333333334,15.710725035518635
77.15,15.709612457992478
